Case;"Player [1=Gössa; 2= player1; 3= player2; 4 = player3]";"Tune [1=Pellar; 2=Lorik; 3=JamtOlle; 4=Blecko; 5= Storpolska]";Volta;Section;SectionVolta;PerformanceMeasure;SectionMeasure;BarSTRING;Measure duration s;M dev;B1 ms;B2 ms;B3 ms;BP1;BP2;BP3;NDB1;NDB2;NDB3;"Rhythm Category [9999=E; 0=decreasing_or_stable; 2=repeated_ending]";"SB1 [1=unequal; 0= equal_or_NA]";"SB2 [1=unequal; 0= equal_or_NA]";"CND [1=decreasing; 2= stable; 3=increasing]";Tempo;M dev
43;1;3;2;2;2;43;3;B3;1.29;-0.04;431;372;490;0.33;0.29;0.38;2;2;2;2200;0;0;2;134;95.79774665
44;1;3;2;2;2;44;4;B4;1.37;0.02;366;522;483;0.27;0.38;0.35;3;4;1;3400;0;0;3;134;101.6036707
45;1;3;2;2;2;45;5;B5;1.29;-0.05;366;483;438;0.28;0.38;0.34;1;4;2;1400;0;0;3;134;95.31391974
46;1;3;2;2;2;46;6;B6;1.35;0.00;490;418;438;0.36;0.31;0.33;4;1;1;0;0;0;1;134;99.66836268
47;1;3;2;2;2;47;7;B7;1.28;-0.05;424;411;444;0.33;0.32;0.35;2;1;2;0;1;0;1;134;94.83009268
48;1;3;2;2;2;48;8;B8;1.48;0.09;470;507;500;0.32;0.34;0.34;3;1;1;9999;0;0;1;134;109.410421
49;1;3;3;1;1;49;1;A1;1.45;0.07;439;527;483;0.30;0.36;0.33;1;4;2;1400;0;0;3;134;107.3440766
50;1;3;3;1;1;50;2;A2;1.32;-0.02;333;516;470;0.25;0.39;0.36;1;2;2;1200;0;0;3;134;97.73305466
51;1;3;3;1;1;51;3;A3;1.24;-0.08;333;470;438;0.27;0.38;0.35;2;4;2;2410;1;0;3;134;91.92713069
52;1;3;3;1;1;52;4;A4;1.47;0.09;490;489;488;0.33;0.33;0.33;2;1;1;9999;0;0;1;134;108.6796406
53;1;3;3;1;2;53;1;A1;1.42;0.05;407;529;485;0.29;0.37;0.34;1;4;2;1400;0;0;3;134;105.281092
54;1;3;3;1;2;54;2;A2;1.34;-0.01;322;589;432;0.24;0.44;0.32;1;2;2;1200;0;0;3;134;99.4600483
55;1;3;3;1;2;55;3;A3;1.39;0.03;361;561;465;0.26;0.40;0.34;2;4;2;2410;1;0;3;134;102.6704421
56;1;3;3;1;2;56;4;A4;1.37;0.02;455;481;434;0.33;0.35;0.32;2;1;1;9999;0;0;1;134;101.517993
57;1;3;3;2;1;57;1;B1;1.35;0.00;321;562;464;0.24;0.42;0.34;1;2;2;1201;0;1;3;134;99.75404041
58;1;3;3;2;1;58;2;B2;1.30;-0.04;354;476;472;0.27;0.37;0.36;3;2;1;0;0;1;1;134;96.39245075
59;1;3;3;2;1;59;3;B3;1.32;-0.02;416;418;490;0.31;0.32;0.37;2;2;2;2200;0;0;2;134;98.10600467
60;1;3;3;2;1;60;4;B4;1.34;-0.01;327;554;458;0.24;0.41;0.34;3;4;1;3400;0;0;3;134;99.18453569
61;1;3;3;2;1;61;5;B5;1.33;-0.01;368;499;466;0.28;0.37;0.35;1;4;2;1400;0;0;3;134;98.70070871
62;1;3;3;2;1;62;6;B6;1.36;0.01;467;442;452;0.34;0.32;0.33;4;1;2;0;0;0;1;134;100.8745703
63;1;3;3;2;1;63;7;B7;1.33;-0.02;452;381;496;0.34;0.29;0.37;2;1;2;0;1;0;1;134;98.46215509
64;1;3;3;2;1;64;8;B8;1.47;0.09;461;503;503;0.31;0.34;0.34;3;1;1;9999;0;0;1;134;108.6762807
65;1;3;3;2;2;65;1;B1;1.36;0.01;330;587;444;0.24;0.43;0.33;1;2;2;1201;0;1;3;134;100.8208118
66;1;3;3;2;2;66;2;B2;1.31;-0.03;358;517;438;0.27;0.39;0.33;3;2;1;0;0;1;1;134;97.24922768
67;1;3;3;2;2;67;3;B3;1.36;0.01;464;405;490;0.34;0.30;0.36;2;2;2;2200;0;0;2;134;100.6360167
68;1;3;3;2;2;68;4;B4;1.34;-0.01;327;594;418;0.24;0.44;0.31;3;4;1;3400;0;0;3;134;99.18453569
69;1;3;3;2;2;69;5;B5;1.32;-0.02;340;503;477;0.26;0.38;0.36;1;4;2;1400;0;0;3;134;97.73305474
70;1;3;3;2;2;70;6;B6;1.41;0.05;496;484;430;0.35;0.34;0.31;4;1;1;0;0;0;1;134;104.5066328
71;1;3;3;2;2;71;7;B7;1.38;0.03;457;405;522;0.33;0.29;0.38;2;1;2;0;1;0;1;134;102.5713247
72;1;4;1;1;1;1;1;A1;1.35;-0.01;438;464;444;0.33;0.34;0.33;2;2;2;2211;1;1;2;133;99.49402021
73;1;4;1;1;1;2;2;A2;1.42;0.05;470;522;431;0.33;0.37;0.30;3;1;1;0;0;0;1;133;105.2897885
74;1;4;1;1;1;3;3;A3;1.37;0.02;470;467;436;0.34;0.34;0.32;4;2;2;0;0;0;1;133;101.5634583
75;1;4;1;1;1;4;4;A4;1.38;0.02;391;495;495;0.28;0.36;0.36;2;2;1;2211;1;1;2;133;102.1638301
76;1;4;1;1;1;5;5;A5;1.41;0.04;373;594;445;0.26;0.42;0.31;2;2;2;2211;1;1;2;133;104.4479263
77;1;4;1;1;1;6;6;A6;1.32;-0.03;421;480;417;0.32;0.36;0.32;3;1;1;0;0;0;1;133;97.48998576
78;1;4;1;1;1;7;7;A7;1.32;-0.02;450;458;411;0.34;0.35;0.31;4;2;2;0;0;0;1;133;97.60066893
79;1;4;1;1;1;8;8;A8;1.45;0.07;436;499;515;0.30;0.34;0.36;3;1;1;9999;0;0;1;133;107.2217111
80;1;4;1;1;2;9;1;A1;1.48;0.09;517;500;462;0.35;0.34;0.31;2;2;2;2211;1;1;2;133;109.3297206
81;1;4;1;1;2;10;2;A2;1.27;-0.06;432;474;369;0.34;0.37;0.29;3;1;1;0;0;0;1;133;94.24663635
82;1;4;1;1;2;11;3;A3;1.39;0.03;447;536;405;0.32;0.39;0.29;4;2;2;0;0;0;1;133;102.6333947
83;1;4;1;1;2;12;4;A4;1.28;-0.05;313;496;470;0.24;0.39;0.37;2;2;1;2211;1;1;2;133;94.66421343
84;1;4;1;1;2;13;5;A5;1.37;0.01;431;470;470;0.31;0.34;0.34;2;2;2;2211;1;1;2;133;101.4259429
85;1;4;1;1;2;14;6;A6;1.31;-0.03;458;472;376;0.35;0.36;0.29;3;1;1;0;0;0;1;133;96.59613616
86;1;4;1;1;2;15;7;A7;1.46;0.08;496;457;509;0.34;0.31;0.35;4;2;2;0;0;0;1;133;108.1876725
87;1;4;1;1;2;16;8;A8;1.44;0.06;375;510;552;0.26;0.35;0.38;3;1;1;9999;0;0;1;133;106.2557498
88;1;4;1;2;1;17;1;B1;1.23;-0.09;444;353;431;0.36;0.29;0.35;2;2;2;2211;1;1;2;133;90.80036798
89;1;4;1;2;1;18;2;B2;1.36;0.00;388;461;509;0.29;0.34;0.37;2;4;2;2410;1;0;3;133;100.4599816
90;1;4;1;2;1;19;3;B3;1.34;-0.01;392;418;530;0.29;0.31;0.40;2;2;2;2210;1;0;2;133;99.06805809
91;1;4;1;2;1;20;4;B4;1.27;-0.06;300;490;483;0.24;0.38;0.38;2;4;1;2410;1;0;3;133;94.12421422
92;1;4;1;2;1;21;5;B5;1.33;-0.01;451;474;407;0.34;0.36;0.31;4;2;2;0;0;0;1;133;98.52805888
93;1;4;1;2;1;22;6;B6;1.27;-0.06;379;457;431;0.30;0.36;0.34;3;2;4;0;0;1;1;133;93.69825203
94;1;4;1;2;1;23;7;B7;1.32;-0.02;428;486;405;0.32;0.37;0.31;4;2;2;0;0;0;1;133;97.56209756
95;1;4;1;2;1;24;8;B8;1.36;0.00;483;441;434;0.36;0.32;0.32;3;1;1;9999;1;0;1;133;100.4599815
96;1;4;1;2;2;25;1;B1;1.41;0.04;562;418;431;0.40;0.30;0.31;2;2;2;2211;1;1;2;133;104.3238271
97;1;4;1;2;2;26;2;B2;1.31;-0.03;353;444;512;0.27;0.34;0.39;2;4;2;2410;1;0;3;133;96.76216077
98;1;4;1;2;2;27;3;B3;1.29;-0.05;390;444;457;0.30;0.34;0.35;2;2;2;2210;1;0;2;133;95.46415022
99;1;4;1;2;2;28;4;B4;1.36;0.01;385;470;503;0.28;0.35;0.37;2;4;1;2410;1;0;3;133;100.5052611
100;1;4;1;2;2;29;5;B5;1.24;-0.08;385;451;405;0.31;0.36;0.33;4;2;2;0;0;0;1;133;91.72104986
101;1;4;1;2;2;30;6;B6;1.32;-0.03;398;473;444;0.30;0.36;0.34;3;2;4;0;0;1;1;133;97.30886812
102;1;4;1;2;2;31;7;B7;1.26;-0.07;376;431;457;0.30;0.34;0.36;4;2;2;0;0;0;1;133;93.4685008
103;1;4;1;2;2;32;8;B8;1.40;0.03;447;455;496;0.32;0.33;0.35;3;1;1;9999;1;0;1;133;103.3763129
104;1;4;2;1;1;33;1;A1;1.44;0.06;535;470;434;0.37;0.33;0.30;2;2;2;2211;1;1;2;133;106.4318365
105;1;4;2;1;1;34;2;A2;1.32;-0.02;415;487;421;0.31;0.37;0.32;3;1;1;0;0;0;1;133;97.8505443
106;1;4;2;1;1;35;3;A3;1.31;-0.03;446;442;424;0.34;0.34;0.32;4;2;2;0;0;0;1;133;97.07911682
107;1;4;2;1;1;36;4;A4;1.38;0.02;392;503;483;0.28;0.36;0.35;2;2;1;2211;1;1;2;133;101.9089237
108;1;4;2;1;1;37;5;A5;1.39;0.03;438;503;449;0.32;0.36;0.32;2;2;2;2211;1;1;2;133;102.7289846
109;1;4;2;1;1;38;6;A6;1.39;0.03;492;483;411;0.35;0.35;0.30;1;1;1;0;0;0;1;133;102.5378047
110;1;4;2;1;1;39;7;A7;1.40;0.03;470;389;539;0.34;0.28;0.39;4;2;2;0;0;0;1;133;103.3578657
111;1;4;2;1;1;40;8;A8;1.33;-0.02;395;489;446;0.30;0.37;0.34;3;1;1;9999;0;0;1;133;98.3435871
112;1;4;2;1;2;41;1;A1;1.54;0.14;603;483;449;0.39;0.31;0.29;2;2;2;2211;1;1;2;133;113.5356773
113;1;4;2;1;2;42;2;A2;1.32;-0.02;449;448;424;0.34;0.34;0.32;3;1;1;0;0;0;1;133;97.71135196
114;1;4;2;1;2;43;3;A3;1.36;0.01;479;449;438;0.35;0.33;0.32;4;2;2;0;0;0;1;133;100.9429623
115;1;4;2;1;2;44;4;A4;1.33;-0.02;385;483;457;0.29;0.36;0.34;2;2;1;2211;1;1;2;133;98.04507814
116;1;4;2;1;2;45;5;A5;1.41;0.04;477;457;474;0.34;0.32;0.34;2;2;2;2211;1;1;2;133;104.112523
117;1;4;2;1;2;46;6;A6;1.34;-0.01;444;467;431;0.33;0.35;0.32;3;1;1;0;0;0;1;133;99.2223436
118;1;4;2;1;2;47;7;A7;1.38;0.02;464;457;464;0.33;0.33;0.33;4;2;2;0;0;0;1;133;102.3919043
119;1;4;2;1;2;48;8;A8;1.41;0.04;418;512;482;0.30;0.36;0.34;3;1;1;9999;0;0;1;133;104.419417
120;1;4;2;2;1;49;1;B1;1.42;0.05;525;421;477;0.37;0.30;0.34;2;2;2;2211;1;1;2;133;105.1941985
121;1;4;2;2;1;50;2;B2;1.30;-0.04;320;470;513;0.25;0.36;0.39;2;4;2;2410;1;0;3;133;96.34793776
122;1;4;2;2;1;51;3;B3;1.35;0.00;443;402;503;0.33;0.30;0.37;2;2;2;2210;1;0;2;133;99.74221861
123;1;4;2;2;1;52;4;B4;1.33;-0.02;372;451;503;0.28;0.34;0.38;2;4;1;2410;1;0;3;133;98.02663105
124;1;4;2;2;1;53;5;B5;1.34;-0.01;451;451;438;0.34;0.34;0.33;4;2;2;0;0;0;1;133;99.02948671
125;1;4;2;2;1;54;6;B6;1.33;-0.02;459;435;431;0.35;0.33;0.33;3;2;4;0;0;1;1;133;98.04507822
126;1;4;2;2;1;55;7;B7;1.41;0.05;408;520;486;0.29;0.37;0.34;4;2;2;0;0;0;1;133;104.6173049
127;1;4;2;2;1;56;8;B8;1.32;-0.02;388;431;503;0.29;0.33;0.38;3;1;1;9999;1;0;1;133;97.7717245
128;1;4;2;2;2;57;1;B1;1.36;0.01;489;399;477;0.36;0.29;0.35;2;2;2;2211;1;1;2;133;100.9228381
129;1;4;2;2;2;58;2;B2;1.28;-0.05;403;457;422;0.31;0.36;0.33;2;4;2;2410;1;0;3;133;94.82688405
130;1;4;2;2;2;59;3;B3;1.28;-0.05;453;410;421;0.35;0.32;0.33;2;2;2;2210;1;0;2;133;94.98452355
131;1;4;2;2;2;60;4;B4;1.29;-0.05;379;438;470;0.29;0.34;0.37;2;4;1;2410;1;0;3;133;95.14719409
132;1;4;2;2;2;61;5;B5;1.35;-0.01;444;451;451;0.33;0.33;0.33;4;2;2;0;0;0;1;133;99.49402021
133;1;4;2;2;2;62;6;B6;1.31;-0.03;418;482;413;0.32;0.37;0.31;3;2;4;0;0;1;1;133;97.07911689
134;1;4;2;2;2;63;7;B7;1.38;0.02;411;501;466;0.30;0.36;0.34;4;2;2;0;0;0;1;133;101.9089236
135;1;5;1;1;1;1;1;A1;1.48;0.17;604;418;456;0.41;0.28;0.31;1;1;1;0;0;0;2;142;116.683135
136;1;5;1;1;1;2;2;A2;1.26;-0.01;376;467;417;0.30;0.37;0.33;2;2;3;2210;1;0;2;142;99.49013875
137;1;5;1;1;1;3;3;A3;1.28;0.01;392;390;498;0.31;0.30;0.39;2;4;2;2410;1;0;3;142;101.0948184
