Case;"Player [1=Gössa; 2= player1; 3= player2; 4 = player3]";"Tune [1=Pellar; 2=Lorik; 3=JamtOlle; 4=Blecko; 5= Storpolska]";Volta;Section;SectionVolta;PerformanceMeasure;SectionMeasure;BarSTRING;Measure duration s;M dev;B1 ms;B2 ms;B3 ms;BP1;BP2;BP3;NDB1;NDB2;NDB3;"Rhythm Category [9999=E; 0=decreasing_or_stable; 2=repeated_ending]";"SB1 [1=unequal; 0= equal_or_NA]";"SB2 [1=unequal; 0= equal_or_NA]";"CND [1=decreasing; 2= stable; 3=increasing]";Tempo;M dev
193;1;5;2;2;2;59;3;B7;1.17;-0.08;244;496;427;0.21;0.43;0.37;2;2;3;2200;0;0;2;142;92.15446029
194;1;2;1;1;1;1;1;A1;1.52;0.17;512;478;535;0.34;0.31;0.35;1;2;2;2211;1;1;3;138;116.5583735
195;1;2;1;1;1;2;2;A2;1.32;0.01;325;534;463;0.25;0.40;0.35;1;4;2;1400;0;0;3;138;101.0692687
196;1;2;1;1;1;3;3;A3;1.27;-0.03;385;451;438;0.30;0.35;0.34;2;4;2;2211;1;1;3;138;97.42151015
197;1;2;1;1;1;4;4;A4;1.29;-0.02;322;560;403;0.25;0.44;0.31;1;2;2;1201;0;1;3;138;98.30917757
198;1;2;1;1;1;5;5;A5;1.38;0.05;430;470;478;0.31;0.34;0.35;2;2;2;2211;1;1;2;138;105.3030268
199;1;2;1;1;1;6;6;A6;1.32;0.01;437;461;427;0.33;0.35;0.32;2;2;2;2211;1;1;2;138;101.3015881
200;1;2;1;1;1;7;7;A7;1.29;-0.01;346;518;424;0.27;0.40;0.33;1;4;2;1400;0;0;3;138;98.5310945
201;1;2;1;1;1;8;8;A8;1.28;-0.02;406;459;412;0.32;0.36;0.32;2;2;2;2211;1;1;2;138;97.64342693
202;1;2;1;1;1;9;9;A9;1.19;-0.09;330;448;409;0.28;0.38;0.34;1;2;3;1201;0;1;3;138;90.70852451
203;1;2;1;1;1;10;10;A10;1.39;0.06;468;463;459;0.34;0.33;0.33;1;1;1;9999;0;0;2;138;106.2912504
204;1;2;1;1;1;11;11;A11;1.32;0.01;319;483;522;0.24;0.36;0.39;1;1;2;2;0;0;2;138;101.2565111
205;1;2;1;1;2;12;1;A1;1.38;0.05;412;482;485;0.30;0.35;0.35;1;2;2;2211;1;1;3;138;105.4105178
206;1;2;1;1;2;13;2;A2;1.22;-0.07;305;481;435;0.25;0.39;0.36;1;4;2;1400;0;0;3;138;93.38886429
207;1;2;1;1;2;14;3;A3;1.27;-0.03;359;498;410;0.28;0.39;0.32;2;2;2;2211;1;1;2;138;96.82337475
208;1;2;1;1;2;15;4;A4;1.25;-0.04;340;506;406;0.27;0.40;0.32;1;3;2;1201;0;1;3;138;95.72419273
209;1;2;1;1;2;16;5;A5;1.35;0.03;392;476;481;0.29;0.35;0.36;2;2;2;2211;1;1;2;138;103.1393371
210;1;2;1;1;2;17;6;A6;1.26;-0.03;394;463;406;0.31;0.37;0.32;2;2;2;2211;1;1;2;138;96.58585442
211;1;2;1;1;2;18;7;A7;1.28;-0.02;351;510;418;0.27;0.40;0.33;1;4;2;1400;0;0;3;138;97.83413674
212;1;2;1;1;2;19;8;A8;1.29;-0.01;447;416;427;0.35;0.32;0.33;2;2;2;2211;1;1;2;138;98.61431338
213;1;2;1;1;2;20;9;A9;1.20;-0.08;333;463;402;0.28;0.39;0.34;1;3;3;1201;0;1;3;138;91.59272451
214;1;2;1;1;2;21;10;A10;1.33;0.02;433;464;432;0.33;0.35;0.33;1;1;1;9999;0;0;2;138;101.5703155
215;1;2;1;1;2;22;11;A11;1.36;0.04;335;483;546;0.25;0.35;0.40;1;1;1;2;0;0;2;138;104.240253
216;1;2;1;2;1;23;1;B1;1.29;-0.02;424;397;465;0.33;0.31;0.36;1;2;3;2211;1;1;3;138;98.30224274
217;1;2;1;2;1;24;2;B2;1.30;0.00;335;547;422;0.26;0.42;0.32;1;4;1;1400;0;0;3;138;99.70656042
218;1;2;1;2;1;25;3;B3;1.36;0.04;351;553;451;0.26;0.41;0.33;1;2;2;1201;0;1;3;138;103.6074431
219;1;2;1;2;1;26;4;B4;1.35;0.03;380;445;528;0.28;0.33;0.39;2;4;3;2410;1;0;3;138;103.4097984
220;1;2;1;2;1;27;5;B5;1.18;-0.10;337;384;463;0.28;0.32;0.39;2;2;2;2210;1;0;2;138;90.48660766
221;1;2;1;2;1;28;6;B6;1.37;0.05;437;458;473;0.32;0.33;0.35;1;1;1;9999;0;0;2;138;104.5991341
222;1;2;1;2;2;29;1;B1;1.39;0.06;389;513;484;0.28;0.37;0.35;1;1;3;0;0;0;2;138;105.9479727
223;1;2;1;2;2;30;2;B2;1.34;0.03;341;563;437;0.25;0.42;0.33;1;4;1;1400;0;0;3;138;102.5151959
224;1;2;1;2;2;31;3;B3;1.26;-0.04;294;512;455;0.23;0.41;0.36;1;2;2;1201;0;1;3;138;96.42981906
225;1;2;1;2;2;32;4;B4;1.20;-0.08;359;453;389;0.30;0.38;0.32;2;4;3;2410;1;0;3;138;91.87358811
226;1;2;1;2;2;33;5;B5;1.31;0.00;445;431;433;0.34;0.33;0.33;2;2;2;2210;1;0;2;138;100.0498382
227;1;2;1;2;2;34;6;B6;1.42;0.08;443;443;533;0.31;0.31;0.38;1;1;1;9999;0;0;2;138;108.4445376
228;1;2;2;1;1;35;1;A1;1.46;0.12;483;474;504;0.33;0.32;0.34;1;2;2;2211;1;1;3;138;111.721279
229;1;2;2;1;1;36;2;A2;1.22;-0.06;267;502;455;0.22;0.41;0.37;1;4;2;1400;0;0;3;138;93.62118355
230;1;2;2;1;1;37;3;A3;1.28;-0.02;433;427;418;0.34;0.33;0.33;2;2;2;2211;1;1;2;138;97.68156895
231;1;2;2;1;1;38;4;A4;1.25;-0.05;341;500;408;0.27;0.40;0.33;1;3;2;1201;0;1;3;138;95.49013973
232;1;2;2;1;1;39;5;A5;1.34;0.03;431;463;448;0.32;0.35;0.33;2;2;2;2211;1;1;2;138;102.5620066
233;1;2;2;1;1;40;6;A6;1.31;0.00;392;483;435;0.30;0.37;0.33;2;2;2;2211;1;1;2;138;100.1174534
234;1;2;2;1;1;41;7;A7;1.26;-0.04;321;529;410;0.25;0.42;0.33;1;4;2;1400;0;0;3;138;96.2841861
235;1;2;2;1;1;42;8;A8;1.34;0.02;439;414;484;0.33;0.31;0.36;2;2;2;2211;1;1;2;138;102.2031254
236;1;2;2;1;1;43;9;A9;1.09;-0.17;272;424;394;0.25;0.39;0.36;1;2;3;1201;0;1;3;138;83.29511377
237;1;2;2;1;1;44;10;A10;1.32;0.01;453;469;394;0.34;0.36;0.30;1;1;1;9999;0;0;2;138;100.6705119
238;1;2;2;1;1;45;11;A11;1.37;0.05;400;514;453;0.29;0.38;0.33;1;1;1;2;0;0;2;138;104.543655
239;1;2;2;1;2;46;1;A1;1.41;0.07;407;488;510;0.29;0.35;0.36;1;2;2;2211;1;1;3;138;107.4303081
240;1;2;2;1;2;47;2;A2;1.24;-0.06;292;501;443;0.24;0.41;0.36;1;4;2;1400;0;0;3;138;94.48978007
241;1;2;2;1;2;48;3;A3;1.31;0.00;417;442;453;0.32;0.34;0.35;2;2;2;2211;1;1;2;138;100.3202993
242;1;2;2;1;2;49;4;A4;1.23;-0.06;299;528;404;0.24;0.43;0.33;1;2;2;1201;0;1;3;138;94.10662669
243;1;2;2;1;2;50;5;A5;1.34;0.03;407;481;457;0.30;0.36;0.34;4;2;2;2211;1;1;1;138;102.8099293
244;1;2;2;1;2;51;6;A6;1.32;0.01;396;500;420;0.30;0.38;0.32;2;2;2;2211;1;1;2;138;100.6427723
245;1;2;2;1;2;52;7;A7;1.26;-0.04;316;522;420;0.25;0.41;0.33;1;4;2;1400;0;0;3;138;96.2737837
246;1;2;2;1;2;53;8;A8;1.25;-0.05;422;413;412;0.34;0.33;0.33;1;3;2;2211;1;1;3;138;95.33757194
247;1;2;2;1;2;54;9;A9;1.22;-0.07;380;431;410;0.31;0.35;0.34;1;3;3;1201;0;1;3;138;93.30911291
248;1;2;2;1;2;55;10;A10;1.32;0.01;429;471;424;0.32;0.36;0.32;1;1;1;9999;0;0;2;138;101.1576889
249;1;2;2;1;2;56;11;A11;1.40;0.07;406;475;521;0.29;0.34;0.37;1;1;1;2;0;0;2;138;107.1494445
250;1;2;2;2;1;57;1;B1;1.31;0.00;425;469;413;0.33;0.36;0.32;1;1;3;0;0;0;2;138;99.9735542
251;1;2;2;2;1;58;2;B2;1.34;0.03;325;592;427;0.24;0.44;0.32;1;4;1;1400;0;0;3;138;102.7475153
252;1;2;2;2;1;59;3;B3;1.35;0.03;299;604;450;0.22;0.45;0.33;1;2;2;1201;0;1;3;138;103.4132658
253;1;2;2;2;1;60;4;B4;1.27;-0.03;377;488;403;0.30;0.38;0.32;2;4;2;2410;1;0;3;138;96.97767629
254;1;2;2;2;1;61;5;B5;1.34;0.03;473;401;469;0.35;0.30;0.35;2;2;2;2210;1;0;2;138;102.6365568
255;1;2;2;2;1;62;6;B6;1.32;0.01;409;437;469;0.31;0.33;0.36;1;1;1;9999;0;0;2;138;100.5595535
256;1;2;2;2;2;63;1;B1;1.39;0.06;399;504;485;0.29;0.36;0.35;1;1;3;0;0;0;2;138;106.1560198
257;1;2;2;2;2;64;2;B2;1.32;0.01;296;604;418;0.22;0.46;0.32;1;4;1;1400;0;0;3;138;100.7502633
258;1;2;2;2;2;65;3;B3;1.29;-0.02;303;539;444;0.24;0.42;0.35;1;2;2;1201;0;1;3;138;98.30917764
259;1;2;2;2;2;66;4;B4;1.26;-0.04;386;470;401;0.31;0.37;0.32;2;4;1;2410;1;0;3;138;96.0900088
260;1;2;2;2;2;67;5;B5;1.39;0.06;456;433;504;0.33;0.31;0.36;2;2;2;2210;1;0;2;138;106.4784928
261;1;1;1;1;1;1;1;A1;1.67;0.33;485;633;554;0.29;0.38;0.33;1;2;2;1201;0;1;3;143;132.815534
262;1;1;1;1;1;2;2;A2;1.38;0.10;370;515;496;0.27;0.37;0.36;1;4;2;1400;0;0;3;143;109.7572815
263;1;1;1;1;1;3;3;A3;1.15;-0.09;313;461;370;0.27;0.40;0.32;2;2;2;2211;1;1;2;143;90.96480586
264;1;1;1;1;1;4;4;A4;1.40;0.11;379;522;501;0.27;0.37;0.36;4;2;4;0;0;1;1;143;111.3713592
265;1;1;1;1;1;5;5;A5;1.43;0.14;289;634;509;0.20;0.44;0.36;1;2;2;1201;0;1;3;143;113.7924757
266;1;1;1;1;1;6;6;A6;1.20;-0.05;255;559;387;0.21;0.47;0.32;1;4;2;1400;0;0;3;143;95.46116504
267;1;1;1;1;1;7;7;A7;1.11;-0.12;301;487;325;0.27;0.44;0.29;2;2;2;2211;1;1;2;143;88.45722089
268;1;1;1;1;1;8;8;A8;1.41;0.12;359;530;522;0.25;0.38;0.37;3;1;1;9999;0;0;1;143;112.1495752
269;1;1;1;1;1;9;9;A9;1.20;-0.05;284;569;348;0.24;0.47;0.29;1;1;1;2;0;0;2;143;95.46116504
270;1;1;1;1;2;10;1;A1;1.36;0.08;342;572;444;0.25;0.42;0.33;1;4;2;1201;0;1;3;143;107.9126214
271;1;1;1;1;2;11;2;A2;1.28;0.01;318;553;406;0.25;0.43;0.32;1;4;2;1400;0;0;3;143;101.4563107
272;1;1;1;1;2;12;3;A3;1.11;-0.12;337;415;361;0.30;0.37;0.32;2;2;2;2211;1;1;2;143;88.42839806
273;1;1;1;1;2;13;4;A4;1.38;0.10;347;507;531;0.25;0.37;0.38;4;2;4;0;0;1;1;143;109.9878641
274;1;1;1;1;2;14;5;A5;1.40;0.11;283;623;496;0.20;0.44;0.35;1;2;2;1201;0;1;3;143;111.3713592
275;1;1;1;1;2;15;6;A6;1.24;-0.02;271;543;422;0.22;0.44;0.34;1;4;2;1400;0;0;3;143;98.22815534
276;1;1;1;1;2;16;7;A7;1.08;-0.14;288;411;379;0.27;0.38;0.35;2;2;2;2211;1;1;2;143;85.66140777
277;1;1;1;1;2;17;8;A8;1.33;0.06;389;479;464;0.29;0.36;0.35;3;1;1;9999;0;0;1;143;105.8373786
278;1;1;1;1;2;18;9;A9;1.15;-0.09;311;424;417;0.27;0.37;0.36;1;1;1;2;0;0;2;143;91.42597085
279;1;1;1;2;1;19;1;B1;1.22;-0.03;231;557;435;0.19;0.46;0.36;1;2;2;1200;0;0;3;143;97.19053402
280;1;1;1;2;1;20;2;B2;1.27;0.01;316;519;435;0.25;0.41;0.34;3;2;3;1200;0;0;1;143;100.9951456
281;1;1;1;2;1;21;3;B3;1.15;-0.09;253;514;379;0.22;0.45;0.33;1;2;2;1201;0;1;3;143;90.96480578
282;1;1;1;2;1;22;4;B4;1.20;-0.05;213;505;479;0.18;0.42;0.40;2;4;1;2400;0;0;3;143;95.1152913
283;1;1;1;2;1;23;5;B5;1.27;0.01;226;570;470;0.18;0.45;0.37;1;2;2;1200;0;0;3;143;100.6492718
284;1;1;1;2;1;24;6;B6;1.23;-0.02;309;531;392;0.25;0.43;0.32;3;2;3;1200;0;0;1;143;97.88228159
285;1;1;1;2;1;25;7;B7;1.13;-0.10;264;520;350;0.23;0.46;0.31;1;2;2;1201;0;1;3;143;90.10012137
286;1;1;1;2;1;26;8;B8;1.20;-0.05;255;522;418;0.21;0.44;0.35;2;4;1;2400;0;0;3;143;94.94235438
287;1;1;1;2;1;27;9;B9;1.25;0.00;234;546;475;0.19;0.44;0.38;1;2;3;1201;0;1;3;143;99.61165048
288;1;1;1;2;1;28;10;B10;1.31;0.04;370;475;466;0.28;0.36;0.36;1;1;1;9999;0;0;2;143;104.1080097
289;1;1;1;2;1;29;11;B11;1.20;-0.05;284;499;414;0.24;0.42;0.35;1;1;1;2;0;0;2;143;95.1152913
290;1;1;1;2;2;30;1;B1;1.28;0.02;244;570;470;0.19;0.44;0.37;1;2;2;1200;0;0;3;143;102.032767
291;1;1;1;2;2;31;2;B2;1.17;-0.07;250;534;383;0.21;0.46;0.33;3;2;3;1200;0;0;1;143;92.69417475
292;1;1;1;2;2;32;3;B3;1.20;-0.05;266;512;424;0.22;0.43;0.35;1;2;2;1201;0;1;3;143;95.46116504
293;1;1;1;2;2;33;4;B4;1.20;-0.05;213;531;457;0.18;0.44;0.38;2;4;1;2400;0;0;3;143;95.46116504
294;1;1;1;2;2;34;5;B5;1.30;0.03;253;570;475;0.19;0.44;0.37;1;2;2;1200;0;0;3;143;103.0703884
295;1;1;1;2;2;35;6;B6;1.23;-0.02;284;522;425;0.23;0.42;0.35;3;2;3;1200;0;0;1;143;97.88228159
296;1;1;1;2;2;36;7;B7;1.20;-0.05;263;560;379;0.22;0.47;0.32;1;2;2;1201;0;1;3;143;95.46116504
297;1;1;1;2;2;37;8;B8;1.20;-0.04;235;514;455;0.20;0.43;0.38;2;4;1;2400;0;0;3;143;95.63410196
298;1;1;1;2;2;38;9;B9;1.34;0.06;287;612;440;0.21;0.46;0.33;1;2;3;1201;0;1;3;143;106.3561893
299;1;1;1;2;2;39;10;B10;1.33;0.06;357;540;435;0.27;0.41;0.33;1;1;1;9999;0;0;2;143;105.8373786
300;1;1;1;2;2;40;11;B11;1.23;-0.02;348;461;418;0.28;0.38;0.34;1;1;1;2;0;0;2;143;97.53640776
301;1;1;2;1;1;41;1;A1;1.47;0.17;300;607;565;0.20;0.41;0.38;1;2;2;1201;0;1;3;143;116.9053398
302;1;1;2;1;1;42;2;A2;1.27;0.01;283;579;409;0.22;0.46;0.32;1;4;2;1400;0;0;3;143;100.9951456
303;1;1;2;1;1;43;3;A3;1.16;-0.08;306;508;344;0.26;0.44;0.30;2;2;2;2211;1;1;2;143;92.00242718
304;1;1;2;1;1;44;4;A4;1.42;0.13;354;561;505;0.25;0.39;0.36;4;2;4;0;0;1;1;143;112.7548544
305;1;1;2;1;1;45;5;A5;1.39;0.11;293;621;479;0.21;0.45;0.34;1;2;2;1201;0;1;3;143;110.6796117
306;1;1;2;1;1;46;6;A6;1.21;-0.04;258;556;401;0.21;0.46;0.33;1;4;2;1400;0;0;3;143;96.49878636
307;1;1;2;1;1;47;7;A7;1.18;-0.06;329;450;401;0.28;0.38;0.34;2;2;2;2211;1;1;2;143;93.73179615
308;1;1;2;1;1;48;8;A8;1.34;0.07;364;502;475;0.27;0.37;0.35;3;1;1;9999;0;0;1;143;106.5291262
309;1;1;2;1;1;49;9;A9;1.22;-0.03;289;521;413;0.24;0.43;0.34;1;1;1;2;0;0;2;143;97.165314
310;1;1;2;1;2;50;1;A1;1.36;0.08;291;637;433;0.21;0.47;0.32;1;2;2;1201;0;1;3;143;108.092764
311;1;1;2;1;2;51;2;A2;1.30;0.04;329;544;431;0.25;0.42;0.33;1;4;2;1400;0;0;3;143;103.6072132
312;1;1;2;1;2;52;3;A3;1.09;-0.13;328;384;379;0.30;0.35;0.35;2;2;2;2211;1;1;2;143;86.69902917
313;1;1;2;1;2;53;4;A4;1.41;0.12;374;520;518;0.27;0.37;0.37;4;2;4;0;0;1;1;143;112.1783981
314;1;1;2;1;2;54;5;A5;1.50;0.19;327;649;527;0.22;0.43;0.35;1;2;2;1201;0;1;3;143;119.3264563
315;1;1;2;1;2;55;6;A6;1.32;0.05;299;546;475;0.23;0.41;0.36;1;4;2;1400;0;0;3;143;104.7997573
316;1;1;2;1;2;56;7;A7;1.03;-0.18;292;457;283;0.28;0.44;0.27;2;2;2;2211;1;1;2;143;82.00091016
317;1;1;2;1;2;57;8;A8;1.45;0.15;483;492;475;0.33;0.34;0.33;3;1;1;9999;0;0;1;143;115.1471481
318;1;1;2;1;2;58;9;A9;1.25;-0.01;306;469;475;0.25;0.38;0.38;1;1;1;2;0;0;2;143;99.26577666
319;1;1;2;2;1;59;1;B1;1.27;0.01;257;540;475;0.20;0.42;0.37;1;2;2;1200;0;0;3;143;100.9951456
320;1;1;2;2;1;60;2;B2;1.26;0.00;305;492;461;0.24;0.39;0.37;3;2;3;1200;0;0;1;143;99.95752431
321;1;1;2;2;1;61;3;B3;1.23;-0.02;296;540;392;0.24;0.44;0.32;1;2;2;1201;0;1;3;143;97.53640776
322;1;1;2;2;1;62;4;B4;1.22;-0.03;208;559;453;0.17;0.46;0.37;2;4;1;2400;0;0;3;143;96.84466019
323;1;1;2;2;1;63;5;B5;1.35;0.07;319;510;521;0.24;0.38;0.39;1;2;2;1200;0;0;3;143;107.2208738
324;1;1;2;2;1;64;6;B6;1.23;-0.02;303;524;405;0.25;0.43;0.33;3;2;3;1200;0;0;1;143;97.88228151
325;1;1;2;2;1;65;7;B7;1.13;-0.10;242;505;381;0.21;0.45;0.34;1;2;2;1201;0;1;3;143;89.63895629
326;1;1;2;2;1;66;8;B8;1.28;0.02;295;488;496;0.23;0.38;0.39;2;4;1;2400;0;0;3;143;101.6292476
327;1;1;2;2;1;67;9;B9;1.24;-0.01;226;566;448;0.18;0.46;0.36;1;2;3;1201;0;1;3;143;98.57402908
328;1;1;2;2;1;68;10;B10;1.36;0.08;414;470;475;0.30;0.35;0.35;1;1;1;9999;0;0;2;143;107.9126214
329;1;1;2;2;1;69;11;B11;1.15;-0.08;300;469;385;0.26;0.41;0.33;1;1;1;2;0;0;2;143;91.65655343
330;1;1;2;2;2;70;1;B1;1.29;0.02;244;588;457;0.19;0.46;0.35;1;2;2;1200;0;0;3;143;102.3786408
331;1;1;2;2;2;71;2;B2;1.23;-0.02;305;475;448;0.25;0.39;0.37;3;2;3;1200;0;0;1;143;97.53640776
332;1;1;2;2;2;72;3;B3;1.21;-0.04;260;549;398;0.22;0.45;0.33;1;2;2;1201;0;1;3;143;95.80703879
333;1;1;2;2;2;73;4;B4;1.23;-0.02;229;537;466;0.19;0.44;0.38;2;4;1;2400;0;0;3;143;97.88228159
334;1;1;2;2;2;74;5;B5;1.29;0.02;239;601;448;0.19;0.47;0.35;1;2;2;1200;0;0;3;143;102.3786408
335;1;1;2;2;2;75;6;B6;1.25;-0.01;283;536;427;0.23;0.43;0.34;3;2;3;1200;0;0;1;143;98.91990291
336;1;1;2;2;2;76;7;B7;1.10;-0.13;244;518;335;0.22;0.47;0.31;1;2;2;1201;0;1;3;143;87.16019416
337;1;1;2;2;2;77;8;B8;1.23;-0.02;279;469;485;0.23;0.38;0.39;2;4;1;2400;0;0;3;143;97.88228159
338;1;1;2;2;2;78;9;B9;1.32;0.05;253;572;499;0.19;0.43;0.38;1;2;3;1201;0;1;3;143;105.1456311
339;2;1;1;1;1;1;1;A1;1.40;0.00;406;562;433;0.29;0.40;0.31;1;4;2;1201;0;1;3;128;99.99378921
340;2;1;1;1;1;2;2;A2;1.32;-0.06;284;580;451;0.22;0.44;0.34;1;4;2;1400;0;0;3;128;93.83475143
341;2;1;1;1;1;3;3;A3;1.35;-0.04;452;468;431;0.33;0.35;0.32;2;2;2;2211;1;1;2;128;96.37082582
342;2;1;1;1;1;4;4;A4;1.42;0.01;455;494;467;0.32;0.35;0.33;4;2;4;0;0;1;1;128;101.022452
343;2;1;1;1;1;5;5;A5;1.39;-0.01;285;575;527;0.21;0.41;0.38;1;2;2;1201;0;1;3;128;98.96512638
344;2;1;1;1;1;6;6;A6;1.32;-0.06;329;537;456;0.25;0.41;0.34;1;4;2;1400;0;0;3;128;94.30379581
345;2;1;1;1;1;7;7;A7;1.45;0.03;481;457;509;0.33;0.32;0.35;2;2;2;2211;1;1;2;128;103.2382824
346;2;1;1;1;1;8;8;A8;1.34;-0.04;409;455;476;0.31;0.34;0.35;3;1;1;9999;0;0;1;128;95.60741567
347;2;1;1;1;1;9;9;A9;1.42;0.01;446;468;506;0.31;0.33;0.36;1;1;1;2;0;0;2;128;101.3006438
348;2;1;1;1;2;10;1;A1;1.43;0.02;415;561;455;0.29;0.39;0.32;1;2;2;1201;0;1;3;128;102.0769931
349;2;1;1;1;2;11;2;A2;1.33;-0.05;323;566;444;0.24;0.42;0.33;1;4;2;1400;0;0;3;128;95.05103204
350;2;1;1;1;2;12;3;A3;1.37;-0.02;468;451;453;0.34;0.33;0.33;2;2;2;2211;1;1;2;128;97.82001115
351;2;1;1;1;2;13;4;A4;1.43;0.02;468;485;480;0.33;0.34;0.33;4;2;4;0;0;1;1;128;102.2193239
352;2;1;1;1;2;14;5;A5;1.35;-0.04;267;566;513;0.20;0.42;0.38;1;2;2;1201;0;1;3;128;96.00852949
353;2;1;1;1;2;15;6;A6;1.33;-0.05;304;548;475;0.23;0.41;0.36;1;4;2;1400;0;0;3;128;94.61110081
354;2;1;1;1;2;16;7;A7;1.39;-0.01;444;498;447;0.32;0.36;0.32;2;2;2;2211;1;1;2;128;99.06217002
355;2;1;1;1;2;17;8;A8;1.41;0.01;487;414;510;0.35;0.29;0.36;3;1;1;9999;0;0;1;128;100.6925036
356;2;1;1;1;2;18;9;A9;1.41;0.01;457;473;480;0.32;0.34;0.34;1;1;2;2;0;0;2;128;100.5437033
357;2;1;1;2;1;19;1;B1;1.42;0.02;355;581;488;0.25;0.41;0.34;1;2;2;1200;0;0;3;128;101.535166
358;2;1;1;2;1;20;2;B2;1.41;0.00;379;557;471;0.27;0.40;0.33;3;2;3;1200;0;0;1;128;100.386816
359;2;1;1;2;1;21;3;B3;1.40;0.00;360;592;448;0.26;0.42;0.32;1;2;2;1201;0;1;3;128;99.89027598
360;2;1;1;2;1;22;4;B4;1.40;0.00;423;499;474;0.30;0.36;0.34;2;4;2;2400;0;0;3;128;99.50210133
361;2;1;1;2;1;23;5;B5;1.43;0.02;338;592;504;0.24;0.41;0.35;1;2;2;1200;0;0;3;128;102.2726978
362;2;1;1;2;1;24;6;B6;1.36;-0.03;322;554;484;0.24;0.41;0.36;3;2;3;1200;0;0;1;128;97.00969659
363;2;1;1;2;1;25;7;B7;1.42;0.02;337;624;463;0.24;0.44;0.32;1;2;2;1201;0;1;3;128;101.5529574
364;2;1;1;2;1;26;8;B8;1.38;-0.01;285;610;490;0.21;0.44;0.35;2;4;2;2400;0;0;3;128;98.74354335
365;2;1;1;2;1;27;9;B9;1.36;-0.03;360;554;442;0.27;0.41;0.33;1;4;3;1201;0;1;3;128;96.6894525
366;2;1;1;2;1;28;10;B10;1.45;0.03;468;453;527;0.32;0.31;0.36;1;1;1;9999;0;0;2;128;103.2803346
367;2;1;1;2;2;29;1;B1;1.38;-0.02;333;599;448;0.24;0.43;0.32;1;4;2;1200;0;0;3;128;98.44109059
368;2;1;1;2;2;30;2;B2;1.39;-0.01;369;528;496;0.26;0.38;0.36;1;2;3;1200;0;0;3;128;99.37270978
369;2;1;1;2;2;31;3;B3;1.42;0.01;344;584;492;0.24;0.41;0.35;1;2;2;1201;0;1;3;128;101.2359481
370;2;1;1;2;2;32;4;B4;1.40;0.00;453;496;453;0.32;0.35;0.32;2;4;2;2400;0;0;3;128;99.99378921
371;2;1;1;2;2;33;5;B5;1.44;0.03;354;600;488;0.25;0.42;0.34;1;2;2;1200;0;0;3;128;102.7886466
372;2;1;1;2;2;34;6;B6;1.39;-0.01;333;546;514;0.24;0.39;0.37;1;2;3;1200;0;0;3;128;99.37270978
373;2;1;1;2;2;35;7;B7;1.39;-0.01;344;553;496;0.25;0.40;0.36;1;2;2;1201;0;1;3;128;99.37270978
374;2;1;1;2;2;36;8;B8;1.43;0.02;374;562;496;0.26;0.39;0.35;2;4;2;2400;0;0;3;128;102.1675672
375;2;1;1;2;2;37;9;B9;1.35;-0.04;332;586;431;0.25;0.43;0.32;1;4;3;1201;0;1;3;128;96.26731259
376;2;1;1;2;2;38;10;B10;1.46;0.04;448;504;506;0.31;0.35;0.35;1;1;1;9999;0;0;2;128;104.0308056
377;2;1;2;1;1;39;1;A1;1.43;0.02;366;583;483;0.26;0.41;0.34;1;4;2;1201;0;1;3;128;102.1675672
378;2;1;2;1;1;40;2;A2;1.35;-0.04;309;570;467;0.23;0.42;0.35;1;4;2;1400;0;0;3;128;95.95677284
379;2;1;2;1;1;41;3;A3;1.41;0.01;457;501;455;0.32;0.35;0.32;2;2;2;2211;1;1;2;128;100.747495
380;2;1;2;1;1;42;4;A4;1.42;0.01;451;479;488;0.32;0.34;0.34;4;2;4;0;0;1;1;128;101.1033217
381;2;1;2;1;1;43;5;A5;1.41;0.01;322;557;536;0.23;0.39;0.38;1;2;2;1201;0;1;3;128;100.9254084
382;2;1;2;1;1;44;6;A6;1.30;-0.07;274;570;453;0.21;0.44;0.35;1;4;2;1400;0;0;3;128;92.54083597
383;2;1;2;1;1;45;7;A7;1.45;0.04;450;478;526;0.31;0.33;0.36;2;2;2;2211;1;1;2;128;103.7202658
384;2;1;2;1;1;46;8;A8;1.36;-0.03;423;460;475;0.31;0.34;0.35;3;1;1;9999;0;0;1;128;96.88839203
385;2;1;2;1;1;47;9;A9;1.45;0.03;425;492;533;0.29;0.34;0.37;1;1;1;2;0;0;2;128;103.4097261
386;2;1;2;1;2;48;1;A1;1.45;0.04;352;585;515;0.24;0.40;0.35;1;4;2;1201;0;1;3;128;103.5245611
387;2;1;2;1;2;49;2;A2;1.32;-0.06;294;579;445;0.22;0.44;0.34;1;4;2;1400;0;0;3;128;94.02560403
388;2;1;2;1;2;50;3;A3;1.42;0.01;491;455;473;0.35;0.32;0.33;2;2;2;2211;1;1;2;128;101.1890436
389;2;1;2;1;2;51;4;A4;1.42;0.02;460;511;453;0.32;0.36;0.32;4;2;4;0;0;1;1;128;101.5464878
390;2;1;2;1;2;52;5;A5;1.39;-0.01;296;595;496;0.21;0.43;0.36;1;2;2;1201;0;1;3;128;98.98130029
391;2;1;2;1;2;53;6;A6;1.34;-0.04;306;588;448;0.23;0.44;0.33;1;4;2;1400;0;0;3;128;95.72710289
392;2;1;2;1;2;54;7;A7;1.40;0.00;466;505;434;0.33;0.36;0.31;2;2;2;2211;1;1;2;128;100.1749374
